PID,weight,x,y,z,vx,vy,vz
5,1,-3.24563e+11,-7.67595e+11,1.97465e+11,6.49991e+07,1.5616e+07,-2.10406e+07
5,1,-3.26085e+11,-7.67174e+11,1.97965e+11,6.52279e+07,1.44754e+07,-2.15762e+07
5,1,-3.26757e+11,-7.66521e+11,1.94434e+11,6.54225e+07,1.33206e+07,-2.20856e+07
5,1,-3.20577e+11,-7.68437e+11,1.98263e+11,6.55823e+07,1.21545e+07,-2.25685e+07
5,1,-3.23663e+11,-7.66322e+11,1.96048e+11,6.57079e+07,1.09785e+07,-2.30238e+07
5,1,-3.25798e+11,-7.71903e+11,1.97533e+11,6.58018e+07,9.79259e+06,-2.34497e+07
5,1,-3.2055e+11,-7.65915e+11,1.92646e+11,6.58671e+07,8.59518e+06,-2.3844e+07
5,1,-3.24142e+11,-7.66956e+11,1.98017e+11,6.5907e+07,7.38475e+06,-2.42035e+07
5,1,-3.20998e+11,-7.70495e+11,1.91674e+11,6.5924e+07,6.16142e+06,-2.45255e+07
5,1,-3.15236e+11,-7.72348e+11,1.95086e+11,6.59198e+07,4.92784e+06,-2.48072e+07
5,1,-3.16869e+11,-7.69036e+11,1.96285e+11,6.58957e+07,3.68894e+06,-2.50464e+07
5,1,-3.19426e+11,-7.7082e+11,1.94556e+11,6.58527e+07,2.45052e+06,-2.52418e+07
5,1,-3.1827e+11,-7.67304e+11,1.89496e+11,6.57923e+07,1.21731e+06,-2.53928e+07
5,1,-3.14347e+11,-7.71146e+11,1.8967e+11,6.57157e+07,-8392.82,-2.54994e+07
5,1,-3.17226e+11,-7.71461e+11,1.95843e+11,6.56235e+07,-1.22701e+06,-2.55627e+07
