PID,weight,x0,xf,E0,Ef
9,7,-4.989e+10,2.08789e+12,0,5.60559e-09
9,8,-5.36304e+10,2.08789e+12,0,5.60559e-09
9,1,-1.3575e+10,2.08789e+12,0,5.60559e-09
9,2,-1.8998e+10,2.08789e+12,0,5.60559e-09
9,3,-1.84349e+10,2.08789e+12,0,5.60559e-09
9,4,-1.333e+10,2.08789e+12,0,5.60559e-09
9,5,-1.8354e+10,2.08789e+12,0,5.60559e-09
9,6,-1.72315e+10,2.08814e+12,0,1.19478e-08
9,7,-1.25244e+10,2.08789e+12,0,5.60559e-09
9,8,-1.44515e+10,2.08789e+12,0,5.60559e-09
9,9,-1.65314e+10,2.08789e+12,0,5.60559e-09
9,1,-2.08227e+11,2.08789e+12,0,5.60559e-09
9,2,-2.09991e+11,2.08868e+12,0,4.82655e-09
9,3,-2.11082e+11,2.08789e+12,0,5.60559e-09
9,4,-2.09459e+11,2.08864e+12,0,4.33862e-09
9,5,-2.0737e+11,2.08789e+12,0,5.60559e-09
9,6,-2.06492e+11,2.08789e+12,0,5.60559e-09
9,7,-2.11146e+11,2.08789e+12,0,5.60559e-09
9,8,-2.13385e+11,2.08789e+12,0,5.60559e-09
9,9,-2.08674e+11,2.08837e+12,0,1.58133e-08
9,10,-2.08813e+11,2.08789e+12,0,5.60559e-09
10,1,-8.22738e+11,2.08789e+12,0,5.60559e-09
10,1,-8.24486e+11,2.08789e+12,0,5.60559e-09
10,2,-8.2694e+11,2.08789e+12,0,5.60559e-09
10,1,-8.19934e+11,2.08789e+12,0,5.60559e-09
10,2,-8.2332e+11,2.08789e+12,0,5.60559e-09
10,3,-8.18746e+11,2.08789e+12,0,5.60559e-09
10,1,-8.09216e+11,2.08789e+12,0,5.60559e-09
10,2,-8.16481e+11,2.08789e+12,0,5.60559e-09
10,3,-8.14195e+11,2.08789e+12,0,5.60559e-09
10,4,-8.14721e+11,2.08789e+12,0,5.60559e-09
10,1,-8.00665e+11,2.08789e+12,0,5.60559e-09
10,2,-8.05085e+11,2.08789e+12,0,5.60559e-09
10,3,-7.99795e+11,2.08789e+12,0,5.60559e-09
10,4,-8.06315e+11,2.08789e+12,0,5.60559e-09
10,5,-8.02908e+11,2.08789e+12,0,5.60559e-09
