Step,Bx,By,Bz,Bm
381,1.40017e-07,3.74429e-08,7.3473e-07,7.48889e-07
382,1.37088e-07,4.03834e-08,7.37643e-07,7.5136e-07
383,1.32316e-07,4.42851e-08,7.41647e-07,7.54658e-07
384,1.2618e-07,4.89981e-08,7.45963e-07,7.58145e-07
385,1.19635e-07,5.42485e-08,7.4969e-07,7.61111e-07
386,1.1368e-07,5.96462e-08,7.51999e-07,7.62879e-07
387,1.089e-07,6.47186e-08,7.52347e-07,7.62937e-07
388,1.05193e-07,6.897e-08,7.5061e-07,7.61077e-07
389,1.01826e-07,7.19626e-08,7.47144e-07,7.57476e-07
390,9.78315e-08,7.34027e-08,7.42711e-07,7.52714e-07
391,9.25666e-08,7.32122e-08,7.38331e-07,7.47704e-07
392,8.61772e-08,7.15589e-08,7.35065e-07,7.4355e-07
393,7.97145e-08,6.88335e-08,7.33816e-07,7.41335e-07
394,7.47996e-08,6.55687e-08,7.35176e-07,7.41875e-07
395,7.29482e-08,6.23204e-08,7.39345e-07,7.45545e-07
396,7.48554e-08,5.95419e-08,7.46124e-07,7.5223e-07
397,7.99864e-08,5.74882e-08,7.54958e-07,7.61357e-07
398,8.6693e-08,5.61774e-08,7.65016e-07,7.71959e-07
399,9.28339e-08,5.54212e-08,7.75287e-07,7.8279e-07
400,9.66253e-08,5.49127e-08,7.84706e-07,7.92537e-07
401,9.73302e-08,5.43422e-08,7.92297e-07,8.001e-07
402,9.54617e-08,5.35017e-08,7.97333e-07,8.04807e-07
403,9.24187e-08,5.23433e-08,7.99486e-07,8.0651e-07
404,8.9749e-08,5.09753e-08,7.98917e-07,8.05557e-07
405,8.84182e-08,4.96054e-08,7.96274e-07,8.02702e-07
406,8.84427e-08,4.84614e-08,7.92579e-07,7.98969e-07
